"External ID","ID","Name","State/External ID","State/ID","Country/External ID","Country/ID"
"rv_location_custom.city_id_359","873","Kabupaten Gianyar","base.state_id_ba","614","base.id","100"
"rv_location_custom.city_id_33","547","Kabupaten Gorontalo","base.state_id_go","618","base.id","100"
"rv_location_custom.city_id_34","548","Kabupaten Gorontalo Utara","base.state_id_go","618","base.id","100"
"rv_location_custom.city_id_382","896","Kabupaten Gowa","base.state_id_sn","642","base.id","100"
"rv_location_custom.city_id_116","630","Kabupaten Gresik","base.state_id_ji","623","base.id","100"
"rv_location_custom.city_id_82","596","Kabupaten Grobogan","base.state_id_jt","622","base.id","100"
"rv_location_custom.city_id_20","534","Kabupaten Gunung Kidul","base.state_id_yo","649","base.id","100"
"rv_location_custom.city_id_177","691","Kabupaten Gunung Mas","base.state_id_kt","626","base.id","100"
"rv_location_custom.city_id_236","750","Kabupaten Halmahera Barat","base.state_id_mu","632","base.id","100"
"rv_location_custom.city_id_237","751","Kabupaten Halmahera Selatan","base.state_id_mu","632","base.id","100"
"rv_location_custom.city_id_238","752","Kabupaten Halmahera Tengah","base.state_id_mu","632","base.id","100"
"rv_location_custom.city_id_239","753","Kabupaten Halmahera Timur","base.state_id_mu","632","base.id","100"
"rv_location_custom.city_id_240","754","Kabupaten Halmahera Utara","base.state_id_mu","632","base.id","100"
"rv_location_custom.city_id_166","680","Kabupaten Hulu Sungai Selatan","base.state_id_ks","625","base.id","100"
"rv_location_custom.city_id_167","681","Kabupaten Hulu Sungai Tengah","base.state_id_ks","625","base.id","100"
"rv_location_custom.city_id_168","682","Kabupaten Hulu Sungai Utara","base.state_id_ks","625","base.id","100"
"rv_location_custom.city_id_488","1002","Kabupaten Humbang Hasundutan","base.state_id_su","648","base.id","100"
"rv_location_custom.city_id_322","836","Kabupaten Indragiri Hilir","base.state_id_ri","640","base.id","100"
"rv_location_custom.city_id_323","837","Kabupaten Indragiri Hulu","base.state_id_ri","640","base.id","100"
"rv_location_custom.city_id_62","576","Kabupaten Indramayu","base.state_id_jb","621","base.id","100"
"rv_location_custom.city_id_283","797","Kabupaten Intan Jaya","base.state_id_pa","635","base.id","100"
"rv_location_custom.city_id_285","799","Kabupaten Jayapura","base.state_id_pa","635","base.id","100"
"rv_location_custom.city_id_286","800","Kabupaten Jayawijaya","base.state_id_pp","639","base.id","100"
"rv_location_custom.city_id_117","631","Kabupaten Jember","base.state_id_ji","623","base.id","100"
"rv_location_custom.city_id_360","874","Kabupaten Jembrana","base.state_id_ba","614","base.id","100"
"rv_location_custom.city_id_383","897","Kabupaten Jeneponto","base.state_id_sn","642","base.id","100"
"rv_location_custom.city_id_83","597","Kabupaten Jepara","base.state_id_jt","622","base.id","100"
"rv_location_custom.city_id_118","632","Kabupaten Jombang","base.state_id_ji","623","base.id","100"
"rv_location_custom.city_id_308","822","Kabupaten Kaimana","base.state_id_pb","636","base.id","100"
"rv_location_custom.city_id_324","838","Kabupaten Kampar","base.state_id_ri","640","base.id","100"
"rv_location_custom.city_id_178","692","Kabupaten Kapuas","base.state_id_kt","626","base.id","100"
"rv_location_custom.city_id_148","662","Kabupaten Kapuas Hulu","base.state_id_kb","624","base.id","100"
"rv_location_custom.city_id_84","598","Kabupaten Karanganyar","base.state_id_jt","622","base.id","100"
"rv_location_custom.city_id_361","875","Kabupaten Karangasem","base.state_id_ba","614","base.id","100"
"rv_location_custom.city_id_63","577","Kabupaten Karawang","base.state_id_jb","621","base.id","100"
"rv_location_custom.city_id_205","719","Kabupaten Karimun","base.state_id_kr","629","base.id","100"
"rv_location_custom.city_id_489","1003","Kabupaten Karo","base.state_id_su","648","base.id","100"
"rv_location_custom.city_id_179","693","Kabupaten Katingan","base.state_id_kt","626","base.id","100"
"rv_location_custom.city_id_13","527","Kabupaten Kaur","base.state_id_be","617","base.id","100"
"rv_location_custom.city_id_149","663","Kabupaten Kayong Utara","base.state_id_kb","624","base.id","100"
"rv_location_custom.city_id_85","599","Kabupaten Kebumen","base.state_id_jt","622","base.id","100"
"rv_location_custom.city_id_120","634","Kabupaten Kediri","base.state_id_ji","623","base.id","100"
"rv_location_custom.city_id_287","801","Kabupaten Keerom","base.state_id_pa","635","base.id","100"
"rv_location_custom.city_id_86","600","Kabupaten Kendal","base.state_id_jt","622","base.id","100"
"rv_location_custom.city_id_14","528","Kabupaten Kepahiang","base.state_id_be","617","base.id","100"
"rv_location_custom.city_id_206","720","Kabupaten Kepulauan Anambas","base.state_id_kr","629","base.id","100"
"rv_location_custom.city_id_228","742","Kabupaten Kepulauan Aru","base.state_id_ma","631","base.id","100"
"rv_location_custom.city_id_449","963","Kabupaten Kepulauan Mentawai","base.state_id_sb","646","base.id","100"
"rv_location_custom.city_id_325","839","Kabupaten Kepulauan Meranti","base.state_id_ri","640","base.id","100"
"rv_location_custom.city_id_436","950","Kabupaten Kepulauan Sangihe","base.state_id_sa","645","base.id","100"
"rv_location_custom.city_id_384","898","Kabupaten Kepulauan Selayar","base.state_id_sn","642","base.id","100"
"rv_location_custom.city_id_29","543","Kabupaten Kepulauan Seribu","base.state_id_jk","619","base.id","100"
"rv_location_custom.city_id_437","951","Kabupaten Kepulauan Siau Tagulandang Biaro (Sitaro)","base.state_id_sa","645","base.id","100"
"rv_location_custom.city_id_241","755","Kabupaten Kepulauan Sula","base.state_id_mu","632","base.id","100"
"rv_location_custom.city_id_438","952","Kabupaten Kepulauan Talaud","base.state_id_sa","645","base.id","100"
"rv_location_custom.city_id_288","802","Kabupaten Kepulauan Yapen","base.state_id_pa","635","base.id","100"
"rv_location_custom.city_id_39","553","Kabupaten Kerinci","base.state_id_ja","620","base.id","100"
"rv_location_custom.city_id_150","664","Kabupaten Ketapang","base.state_id_kb","624","base.id","100"
"rv_location_custom.city_id_87","601","Kabupaten Klaten","base.state_id_jt","622","base.id","100"
"rv_location_custom.city_id_362","876","Kabupaten Klungkung","base.state_id_ba","614","base.id","100"
"rv_location_custom.city_id_421","935","Kabupaten Kolaka","base.state_id_sg","644","base.id","100"
"rv_location_custom.city_id_422","936","Kabupaten Kolaka Timur","base.state_id_sg","644","base.id","100"
"rv_location_custom.city_id_423","937","Kabupaten Kolaka Utara","base.state_id_sg","644","base.id","100"
"rv_location_custom.city_id_424","938","Kabupaten Konawe","base.state_id_sg","644","base.id","100"
"rv_location_custom.city_id_425","939","Kabupaten Konawe Kepulauan","base.state_id_sg","644","base.id","100"
"rv_location_custom.city_id_426","940","Kabupaten Konawe Selatan","base.state_id_sg","644","base.id","100"
"rv_location_custom.city_id_427","941","Kabupaten Konawe Utara","base.state_id_sg","644","base.id","100"
"rv_location_custom.city_id_169","683","Kabupaten Kotabaru","base.state_id_ks","625","base.id","100"
"rv_location_custom.city_id_180","694","Kabupaten Kotawaringin Barat","base.state_id_kt","626","base.id","100"
"rv_location_custom.city_id_181","695","Kabupaten Kotawaringin Timur","base.state_id_kt","626","base.id","100"
"rv_location_custom.city_id_326","840","Kabupaten Kuantan Singingi","base.state_id_ri","640","base.id","100"
"rv_location_custom.city_id_151","665","Kabupaten Kubu Raya","base.state_id_kb","624","base.id","100"
"rv_location_custom.city_id_88","602","Kabupaten Kudus","base.state_id_jt","622","base.id","100"
"rv_location_custom.city_id_21","535","Kabupaten Kulon Progo","base.state_id_yo","649","base.id","100"
"rv_location_custom.city_id_64","578","Kabupaten Kuningan","base.state_id_jb","621","base.id","100"
"rv_location_custom.city_id_261","775","Kabupaten Kupang","base.state_id_nt","634","base.id","100"
"rv_location_custom.city_id_191","705","Kabupaten Kutai Barat","base.state_id_ki","627","base.id","100"
"rv_location_custom.city_id_192","706","Kabupaten Kutai Kartanegara","base.state_id_ki","627","base.id","100"
"rv_location_custom.city_id_193","707","Kabupaten Kutai Timur","base.state_id_ki","627","base.id","100"
"rv_location_custom.city_id_490","1004","Kabupaten Labuhanbatu","base.state_id_su","648","base.id","100"
"rv_location_custom.city_id_491","1005","Kabupaten Labuhanbatu Selatan","base.state_id_su","648","base.id","100"
"rv_location_custom.city_id_492","1006","Kabupaten Labuhanbatu Utara","base.state_id_su","648","base.id","100"
"rv_location_custom.city_id_467","981","Kabupaten Lahat","base.state_id_ss","647","base.id","100"
"rv_location_custom.city_id_182","696","Kabupaten Lamandau","base.state_id_kt","626","base.id","100"
"rv_location_custom.city_id_121","635","Kabupaten Lamongan","base.state_id_ji","623","base.id","100"
"rv_location_custom.city_id_211","725","Kabupaten Lampung Barat","base.state_id_la","630","base.id","100"
"rv_location_custom.city_id_212","726","Kabupaten Lampung Selatan","base.state_id_la","630","base.id","100"
"rv_location_custom.city_id_213","727","Kabupaten Lampung Tengah","base.state_id_la","630","base.id","100"
"rv_location_custom.city_id_214","728","Kabupaten Lampung Timur","base.state_id_la","630","base.id","100"
"rv_location_custom.city_id_215","729","Kabupaten Lampung Utara","base.state_id_la","630","base.id","100"
"rv_location_custom.city_id_152","666","Kabupaten Landak","base.state_id_kb","624","base.id","100"
"rv_location_custom.city_id_493","1007","Kabupaten Langkat","base.state_id_su","648","base.id","100"
"rv_location_custom.city_id_289","803","Kabupaten Lanny Jaya","base.state_id_pp","639","base.id","100"
"rv_location_custom.city_id_2","516","Kabupaten Lebak","base.state_id_bt","616","base.id","100"
"rv_location_custom.city_id_15","529","Kabupaten Lebong","base.state_id_be","617","base.id","100"
"rv_location_custom.city_id_262","776","Kabupaten Lembata","base.state_id_nt","634","base.id","100"
"rv_location_custom.city_id_450","964","Kabupaten Lima Puluh Kota","base.state_id_sb","646","base.id","100"
"rv_location_custom.city_id_207","721","Kabupaten Lingga","base.state_id_kr","629","base.id","100"
"rv_location_custom.city_id_249","763","Kabupaten Lombok Barat","base.state_id_nb","633","base.id","100"
"rv_location_custom.city_id_250","764","Kabupaten Lombok Tengah","base.state_id_nb","633","base.id","100"
"rv_location_custom.city_id_251","765","Kabupaten Lombok Timur","base.state_id_nb","633","base.id","100"
"rv_location_custom.city_id_252","766","Kabupaten Lombok Utara","base.state_id_nb","633","base.id","100"
"rv_location_custom.city_id_122","636","Kabupaten Lumajang","base.state_id_ji","623","base.id","100"
"rv_location_custom.city_id_385","899","Kabupaten Luwu","base.state_id_sn","642","base.id","100"
"rv_location_custom.city_id_386","900","Kabupaten Luwu Timur","base.state_id_sn","642","base.id","100"
"rv_location_custom.city_id_387","901","Kabupaten Luwu Utara","base.state_id_sn","642","base.id","100"
"rv_location_custom.city_id_124","638","Kabupaten Madiun","base.state_id_ji","623","base.id","100"
"rv_location_custom.city_id_90","604","Kabupaten Magelang","base.state_id_jt","622","base.id","100"
"rv_location_custom.city_id_125","639","Kabupaten Magetan","base.state_id_ji","623","base.id","100"
"rv_location_custom.city_id_194","708","Kabupaten Mahakam Ulu","base.state_id_ki","627","base.id","100"
"rv_location_custom.city_id_65","579","Kabupaten Majalengka","base.state_id_jb","621","base.id","100"
"rv_location_custom.city_id_371","885","Kabupaten Majene","base.state_id_sr","641","base.id","100"
"rv_location_custom.city_id_263","777","Kabupaten Malaka","base.state_id_nt","634","base.id","100"
"rv_location_custom.city_id_127","641","Kabupaten Malang","base.state_id_ji","623","base.id","100"
"rv_location_custom.city_id_199","713","Kabupaten Malinau","base.state_id_ku","628","base.id","100"
"rv_location_custom.city_id_229","743","Kabupaten Maluku Barat Daya","base.state_id_ma","631","base.id","100"
"rv_location_custom.city_id_230","744","Kabupaten Maluku Tengah","base.state_id_ma","631","base.id","100"
"rv_location_custom.city_id_231","745","Kabupaten Maluku Tenggara","base.state_id_ma","631","base.id","100"
"rv_location_custom.city_id_232","746","Kabupaten Maluku Tenggara Barat","base.state_id_ma","631","base.id","100"
"rv_location_custom.city_id_372","886","Kabupaten Mamasa","base.state_id_sr","641","base.id","100"
"rv_location_custom.city_id_290","804","Kabupaten Mamberamo Raya","base.state_id_pa","635","base.id","100"
"rv_location_custom.city_id_291","805","Kabupaten Mamberamo Tengah","base.state_id_pp","639","base.id","100"
"rv_location_custom.city_id_373","887","Kabupaten Mamuju","base.state_id_sr","641","base.id","100"
"rv_location_custom.city_id_374","888","Kabupaten Mamuju Tengah","base.state_id_sr","641","base.id","100"
"rv_location_custom.city_id_375","889","Kabupaten Mamuju Utara","base.state_id_sr","641","base.id","100"
"rv_location_custom.city_id_494","1008","Kabupaten Mandailing Natal","base.state_id_su","648","base.id","100"
"rv_location_custom.city_id_264","778","Kabupaten Manggarai","base.state_id_nt","634","base.id","100"
"rv_location_custom.city_id_265","779","Kabupaten Manggarai Barat","base.state_id_nt","634","base.id","100"
"rv_location_custom.city_id_266","780","Kabupaten Manggarai Timur","base.state_id_nt","634","base.id","100"
"rv_location_custom.city_id_309","823","Kabupaten Manokwari","base.state_id_pb","636","base.id","100"
"rv_location_custom.city_id_310","824","Kabupaten Manokwari Selatan","base.state_id_pb","636","base.id","100"
"rv_location_custom.city_id_292","806","Kabupaten Mappi","base.state_id_pa","635","base.id","100"
"rv_location_custom.city_id_389","903","Kabupaten Maros","base.state_id_sn","642","base.id","100"
"rv_location_custom.city_id_311","825","Kabupaten Maybrat","base.state_id_pb","636","base.id","100"
"rv_location_custom.city_id_153","667","Kabupaten Melawi","base.state_id_kb","624","base.id","100"
"rv_location_custom.city_id_154","668","Kabupaten Mempawah","base.state_id_kb","624","base.id","100"
"rv_location_custom.city_id_40","554","Kabupaten Merangin","base.state_id_ja","620","base.id","100"
"rv_location_custom.city_id_293","807","Kabupaten Merauke","base.state_id_pa","635","base.id","100"
"rv_location_custom.city_id_216","730","Kabupaten Mesuji","base.state_id_la","630","base.id","100"
"rv_location_custom.city_id_294","808","Kabupaten Mimika","base.state_id_pa","635","base.id","100"
"rv_location_custom.city_id_441","955","Kabupaten Minahasa","base.state_id_sa","645","base.id","100"
"rv_location_custom.city_id_442","956","Kabupaten Minahasa Selatan","base.state_id_sa","645","base.id","100"
"rv_location_custom.city_id_443","957","Kabupaten Minahasa Tenggara","base.state_id_sa","645","base.id","100"
"rv_location_custom.city_id_444","958","Kabupaten Minahasa Utara","base.state_id_sa","645","base.id","100"
"rv_location_custom.city_id_129","643","Kabupaten Mojokerto","base.state_id_ji","623","base.id","100"
"rv_location_custom.city_id_406","920","Kabupaten Morowali","base.state_id_st","643","base.id","100"
"rv_location_custom.city_id_407","921","Kabupaten Morowali Utara","base.state_id_st","643","base.id","100"
"rv_location_custom.city_id_469","983","Kabupaten Muara Enim","base.state_id_ss","647","base.id","100"
"rv_location_custom.city_id_41","555","Kabupaten Muaro Jambi","base.state_id_ja","620","base.id","100"
"rv_location_custom.city_id_16","530","Kabupaten Muko Muko","base.state_id_be","617","base.id","100"
"rv_location_custom.city_id_428","942","Kabupaten Muna","base.state_id_sg","644","base.id","100"
"rv_location_custom.city_id_429","943","Kabupaten Muna Barat","base.state_id_sg","644","base.id","100"
"rv_location_custom.city_id_183","697","Kabupaten Murung Raya","base.state_id_kt","626","base.id","100"
"rv_location_custom.city_id_470","984","Kabupaten Musi Banyuasin","base.state_id_ss","647","base.id","100"
"rv_location_custom.city_id_471","985","Kabupaten Musi Rawas","base.state_id_ss","647","base.id","100"
"rv_location_custom.city_id_472","986","Kabupaten Musi Rawas Utara","base.state_id_ss","647","base.id","100"
"rv_location_custom.city_id_295","809","Kabupaten Nabire","base.state_id_pa","635","base.id","100"
"rv_location_custom.city_id_349","863","Kabupaten Nagan Raya","base.state_id_ac","613","base.id","100"
"rv_location_custom.city_id_267","781","Kabupaten Nagekeo","base.state_id_nt","634","base.id","100"
"rv_location_custom.city_id_208","722","Kabupaten Natuna","base.state_id_kr","629","base.id","100"
"rv_location_custom.city_id_296","810","Kabupaten Nduga","base.state_id_pp","639","base.id","100"
"rv_location_custom.city_id_268","782","Kabupaten Ngada","base.state_id_nt","634","base.id","100"
"rv_location_custom.city_id_130","644","Kabupaten Nganjuk","base.state_id_ji","623","base.id","100"
"rv_location_custom.city_id_131","645","Kabupaten Ngawi","base.state_id_ji","623","base.id","100"
"rv_location_custom.city_id_496","1010","Kabupaten Nias","base.state_id_su","648","base.id","100"
"rv_location_custom.city_id_497","1011","Kabupaten Nias Barat","base.state_id_su","648","base.id","100"
"rv_location_custom.city_id_498","1012","Kabupaten Nias Selatan","base.state_id_su","648","base.id","100"
"rv_location_custom.city_id_499","1013","Kabupaten Nias Utara","base.state_id_su","648","base.id","100"
"rv_location_custom.city_id_200","714","Kabupaten Nunukan","base.state_id_ku","628","base.id","100"
"rv_location_custom.city_id_473","987","Kabupaten Ogan Ilir","base.state_id_ss","647","base.id","100"
"rv_location_custom.city_id_474","988","Kabupaten Ogan Komering Ilir","base.state_id_ss","647","base.id","100"
"rv_location_custom.city_id_475","989","Kabupaten Ogan Komering Ulu","base.state_id_ss","647","base.id","100"
"rv_location_custom.city_id_476","990","Kabupaten Ogan Komering Ulu Selatan","base.state_id_ss","647","base.id","100"
"rv_location_custom.city_id_477","991","Kabupaten Ogan Komering Ulu Timur","base.state_id_ss","647","base.id","100"
"rv_location_custom.city_id_132","646","Kabupaten Pacitan","base.state_id_ji","623","base.id","100"
"rv_location_custom.city_id_500","1014","Kabupaten Padang Lawas","base.state_id_su","648","base.id","100"
"rv_location_custom.city_id_501","1015","Kabupaten Padang Lawas Utara","base.state_id_su","648","base.id","100"
"rv_location_custom.city_id_453","967","Kabupaten Padang Pariaman","base.state_id_sb","646","base.id","100"
"rv_location_custom.city_id_503","1017","Kabupaten Pakpak Bharat","base.state_id_su","648","base.id","100"
"rv_location_custom.city_id_133","647","Kabupaten Pamekasan","base.state_id_ji","623","base.id","100"
"rv_location_custom.city_id_3","517","Kabupaten Pandeglang","base.state_id_bt","616","base.id","100"
"rv_location_custom.city_id_66","580","Kabupaten Pangandaran","base.state_id_jb","621","base.id","100"
"rv_location_custom.city_id_391","905","Kabupaten Pangkajene Kepulauan","base.state_id_sn","642","base.id","100"
